Naam;Type;URL;Beheerder;Adres;Postcode;Plaats;Aantal plaatsen;Latitude;Longitude;Bijzondere openingstijden;Opening Inrijden;Sluiting Inrijden;Opening Uitrijden;Sluiting Uitrijden;Dagprijs;opening_times;Inclusief OV;PrijsPerTijdseenheid;Tijdeenheid (min);Gratis minuten;Opmerkingen
P+R Zeeburg;P+R;http://www.amsterdam.nl/penrzeeburg;www.amsterdam.nl/penr;Zuiderzeeweg 46 a;1095KJ;Amsterdam;;52.370829;4.9617141;;0:00;0:00;0:00;0:00;8.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Ja;8.00;1440;0;Vooraf melden bij P+R Loket
Weekend P+R VUmc;P+R;http://www.amsterdam.nl/penr;www.amsterdam.nl/penr;Gustav Mahlerlaan 3004;1081 LA;Amsterdam;;52.3360888;4.8612159;vrijdag 18:00 tot maandag 04:00;7:00;22:00;0:00;0:00;8.00;"opening_times : {default : [{days : ""0"" , open_in : ""0700"", open_out : ""0000"", close_in : ""2200"", close_out : ""0400""},{days : ""5"" , open_in : ""1800"", open_out : ""1800"", close_in : ""2200"", close_out : ""0000""},{days : ""6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""2200"", close_out : ""0000""}]}";Ja;8.00;1440;0;Vooraf melden bij P+R Loket
P+R World Fashion Centre;P+R;http://www.amsterdam.nl/penrworldfashioncentre;www.amsterdam.nl/penr;Koningin Wilhelminaplein 13;1062HH;Amsterdam;;52.3545559;4.8411274;;0:00;0:00;0:00;0:00;8.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Ja;8.00;1440;0;Vooraf melden bij P+R Loket. Bij P+R World Fashion Centre zijn weleens mode-evenementen. Dan geldt het P+R tarief niet.
P+R Bos en Lommer;P+R;http://www.amsterdam.nl/penrbosenlommer;www.amsterdam.nl/penr;Leeuwendalersweg 23 b;1055JE;Amsterdam;;52.3795377;4.8425155;;7:00;22:00;0:00;0:00;8.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""2200"", close_out : ""0000""}]}";Ja;8.00;1440;0;Vooraf melden bij P+R Loket
P+R Sloterdijk;P+R;http://www.amsterdam.nl/penrsloterdijk;www.amsterdam.nl/penr;Piarcoplein 1;1043DW;Amsterdam;;52.3900451;4.8384427;;0:00;0:00;0:00;0:00;8.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Ja;8.00;1440;0;Vooraf melden bij P+R Loket. Deze P+R is populair. P+R Bos en Lommer is het dichtstbijzijnde alternatief.
P+R Olympisch Stadion;P+R;http://www.amsterdam.nl/penrolympischstadion;www.amsterdam.nl/penr;Olympisch Stadion 44;1076DE;Amsterdam;;52.3440266;4.8539215;;0:00;0:00;0:00;0:00;8.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Ja;8.00;1440;0;Vooraf melden bij P+R Loket. Deze P+R is populair en vaak vol.
P+R ArenA;P+R;http://www.amsterdam.nl/penrarena;www.amsterdam.nl/penr;Burgemeester Stramanweg 130;1101EP;Amsterdam;;52.3137551;4.9405734;;0:00;0:00;0:00;0:00;8.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Ja;8.00;1440;0;Vooraf melden bij P+R Loket. Tijdens evenementen in de Amsterdam ArenA en de Ziggo Dome is de P+R ArenA de gehele dag gesloten.
Amsterdamse Poort (P21 t/m 24);Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1074/parkingdetail/parkingid/604;www.Q-Park.nl;Bijlmerdreef 700;1103DS;Amsterdam;;52.3191979;4.9626452;;0:00;0:00;0:00;0:00;13.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;0.50;21;0;
P 18 (HES, ROC);Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_arenapoort/p18-hes_roc/;www.amsterdam.nl/parkeergebouwen;Fraijlemaborg 131;1102CV;Amsterdam;;52.3152668;4.9467115;;0:00;0:00;0:00;0:00;24.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;1.00;25;0;
Transferium ArenA;Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_arenapoort/p1-arena/;www.amsterdam.nl/parkeergebouwen;;1101EP;Amsterdam;;52.3136379;4.940279;;0:00;0:00;0:00;0:00;24.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;1.00;25;0;
